/home/zhikai/miniconda3/envs/rl4co/lib/python3.9/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
/home/zhikai/miniconda3/envs/rl4co/lib/python3.9/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
/home/zhikai/code/RL_study/main.py:238: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.actor.load_state_dict(torch.load(actor_path, map_location=device))
[2024-12-17 21:38:02,071][__main__][INFO] - Episode 1: Reward: 1532.89
[2024-12-17 21:38:02,308][__main__][INFO] - Episode 2: Reward: 1537.53
[2024-12-17 21:38:02,554][__main__][INFO] - Episode 3: Reward: 1529.33
[2024-12-17 21:38:02,790][__main__][INFO] - Episode 4: Reward: 1532.56
[2024-12-17 21:38:03,017][__main__][INFO] - Episode 5: Reward: 1534.84
[2024-12-17 21:38:03,246][__main__][INFO] - Episode 6: Reward: 1533.63
[2024-12-17 21:38:03,472][__main__][INFO] - Episode 7: Reward: 1551.52
[2024-12-17 21:38:03,701][__main__][INFO] - Episode 8: Reward: 1544.25
[2024-12-17 21:38:03,927][__main__][INFO] - Episode 9: Reward: 1546.01
[2024-12-17 21:38:04,152][__main__][INFO] - Episode 10: Reward: 1538.11
[2024-12-17 21:38:04,379][__main__][INFO] - Episode 11: Reward: 1533.78
[2024-12-17 21:38:04,606][__main__][INFO] - Episode 12: Reward: 1536.36
[2024-12-17 21:38:04,832][__main__][INFO] - Episode 13: Reward: 1533.70
[2024-12-17 21:38:05,059][__main__][INFO] - Episode 14: Reward: 1536.16
[2024-12-17 21:38:05,285][__main__][INFO] - Episode 15: Reward: 1536.79
[2024-12-17 21:38:05,511][__main__][INFO] - Episode 16: Reward: 1541.78
[2024-12-17 21:38:05,737][__main__][INFO] - Episode 17: Reward: 1542.16
[2024-12-17 21:38:05,963][__main__][INFO] - Episode 18: Reward: 1522.86
[2024-12-17 21:38:06,190][__main__][INFO] - Episode 19: Reward: 1531.58
[2024-12-17 21:38:06,415][__main__][INFO] - Episode 20: Reward: 1537.89
[2024-12-17 21:38:06,642][__main__][INFO] - Episode 21: Reward: 1535.79
[2024-12-17 21:38:06,867][__main__][INFO] - Episode 22: Reward: 1538.17
[2024-12-17 21:38:07,093][__main__][INFO] - Episode 23: Reward: 1539.77
[2024-12-17 21:38:07,318][__main__][INFO] - Episode 24: Reward: 1526.63
[2024-12-17 21:38:07,545][__main__][INFO] - Episode 25: Reward: 1537.43
[2024-12-17 21:38:07,771][__main__][INFO] - Episode 26: Reward: 1532.33
[2024-12-17 21:38:07,997][__main__][INFO] - Episode 27: Reward: 1542.20
[2024-12-17 21:38:08,223][__main__][INFO] - Episode 28: Reward: 1542.33
[2024-12-17 21:38:08,450][__main__][INFO] - Episode 29: Reward: 1542.65
[2024-12-17 21:38:08,678][__main__][INFO] - Episode 30: Reward: 1541.25
