/home/zhikai/miniconda3/envs/rl4co/lib/python3.9/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
/home/zhikai/miniconda3/envs/rl4co/lib/python3.9/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
/home/zhikai/code/RL_study/main.py:238: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.actor.load_state_dict(torch.load(actor_path, map_location=device))
/home/zhikai/miniconda3/envs/rl4co/lib/python3.9/site-packages/glfw/__init__.py:917: GLFWError: (65537) b'The GLFW library is not initialized'
  warnings.warn(message, GLFWError)
[2024-12-17 21:58:56,410][__main__][INFO] - Episode 1: Reward: 1258.59
[2024-12-17 21:58:56,795][__main__][INFO] - Episode 2: Reward: 1264.62
[2024-12-17 21:58:57,164][__main__][INFO] - Episode 3: Reward: 1254.81
[2024-12-17 21:58:57,532][__main__][INFO] - Episode 4: Reward: 1262.16
[2024-12-17 21:58:57,904][__main__][INFO] - Episode 5: Reward: 1260.65
[2024-12-17 21:58:58,288][__main__][INFO] - Episode 6: Reward: 1266.35
[2024-12-17 21:58:58,660][__main__][INFO] - Episode 7: Reward: 1266.87
[2024-12-17 21:58:59,030][__main__][INFO] - Episode 8: Reward: 1260.35
[2024-12-17 21:58:59,398][__main__][INFO] - Episode 9: Reward: 1271.02
[2024-12-17 21:58:59,765][__main__][INFO] - Episode 10: Reward: 1267.08
[2024-12-17 21:59:00,139][__main__][INFO] - Episode 11: Reward: 1264.57
[2024-12-17 21:59:00,506][__main__][INFO] - Episode 12: Reward: 1264.04
[2024-12-17 21:59:00,874][__main__][INFO] - Episode 13: Reward: 1263.15
[2024-12-17 21:59:01,239][__main__][INFO] - Episode 14: Reward: 1261.48
[2024-12-17 21:59:01,605][__main__][INFO] - Episode 15: Reward: 1263.11
[2024-12-17 21:59:01,973][__main__][INFO] - Episode 16: Reward: 1264.72
[2024-12-17 21:59:02,343][__main__][INFO] - Episode 17: Reward: 1261.86
[2024-12-17 21:59:02,710][__main__][INFO] - Episode 18: Reward: 1258.04
[2024-12-17 21:59:03,076][__main__][INFO] - Episode 19: Reward: 1257.41
[2024-12-17 21:59:03,442][__main__][INFO] - Episode 20: Reward: 1263.21
[2024-12-17 21:59:03,808][__main__][INFO] - Episode 21: Reward: 1266.93
[2024-12-17 21:59:04,182][__main__][INFO] - Episode 22: Reward: 1264.34
[2024-12-17 21:59:04,548][__main__][INFO] - Episode 23: Reward: 1265.18
[2024-12-17 21:59:04,914][__main__][INFO] - Episode 24: Reward: 1265.93
[2024-12-17 21:59:05,280][__main__][INFO] - Episode 25: Reward: 1264.31
[2024-12-17 21:59:05,646][__main__][INFO] - Episode 26: Reward: 1261.76
[2024-12-17 21:59:06,013][__main__][INFO] - Episode 27: Reward: 1271.56
[2024-12-17 21:59:06,379][__main__][INFO] - Episode 28: Reward: 1265.76
[2024-12-17 21:59:06,746][__main__][INFO] - Episode 29: Reward: 1264.10
[2024-12-17 21:59:07,113][__main__][INFO] - Episode 30: Reward: 1263.26
